Model,Balance,Accuracy,Precision,F1-Score
Random Forest,None,0.9999842054554356,0.999984206505186,0.9999842056360746
Decision Tree,None,0.9999368218217428,0.999936838614401,0.999936824711507
KNN,None,0.9858164989812519,0.9857806515486348,0.9857636994629192
MLP Classifier,None,0.9610348585598534,0.9644063051199445,0.9617610575209332
Perceptron,None,0.8777818141613887,0.8752124073845722,0.869659149897456
Random Forest,With SMOTE,0.9999842054554356,0.999984206505186,0.9999842056360746
Decision Tree,With SMOTE,0.9998420545543569,0.9998421594666422,0.9998420726096444
KNN,With SMOTE,0.9886911060919559,0.9887259200741653,0.9887047398442654
MLP Classifier,With SMOTE,0.9069543379716646,0.9299492280667586,0.9112701864344257
Perceptron,With SMOTE,0.35389256550787357,0.5239153667977398,0.3949664306722095
Logistic Regression,None,0.9767662249459037,0.9770751488332093,0.9768695281901947
Logistic Regression,With SMOTE,0.9767662249459037,0.9770751488332093,0.9768695281901947
XGBoost,None,0.9999526163663071,0.9999526181385752,0.999952616908224
XGBoost,With SMOTE,0.9999368218217428,0.9999368218217428,0.9999368218217428
